"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Central Europe and the Baltics","CEB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.8574978902229","60.0599591303425","66.7647840565722","82.2460868346564","107.048794010896","119.691199115265","133.255016020433","168.73816120092","207.619035744291","188.366101791413","191.058524112443","207.858413009407","199.185843675115","203.477129641304","203.373920297193","180.894842180344","188.266935917827","208.054950948437","219.335232851361","226.055954344416","","",
"Switzerland","CHE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1104.98993823","1133.52454627","1223.49356974","1436.4293729","1612.9135408","1540.13713541","1551.25618502","1682.2853784","1886.82048683","1912.00804229","2017.8372026","2357.31126153","2306.44625178","2334.05818943","2493.95428748","2426.21604088","2508.2550906","2536.64230703","2762.00470872","2444.92465898","","",
"Channel Islands","CHI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.83391875","139.40787429","137.25187661","149.66824883","178.89059612","212.62835687","232.76446919","254.15291281","271.25876473","254.56729569","299.08622766","341.95769185","360.07430657","396.75464318","392.51695127","388.92678556","407.14870585","453.00714082","483.77868887","451.26379797","","",
"China","CHN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.32022551","28.02834033","30.88593902","33.79009923","37.17823085","41.45857605","45.48061099","49.79314646","62.4726956","70.66743859","76.08855673","95.17765035","110.51487632","124.41588862","131.38086207","136.88473883","141.95867651","157.63285967","179.13200553","188.5275955","","",
"Cote d'Ivoire","CIV","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.40226801","41.15288524","42.92103315","47.83239221","48.88760204","45.2999269","42.20248199","42.35076517","46.52288138","44.75779265","43.32655686","43.98537893","40.17242587","40.86218639","41.18566095","27.05022709","27.00162791","27.36106729","28.35347215","28.0029971","","",
"Cameroon","CMR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.71131628","19.57841112","21.4524583","26.52789105","30.04772287","30.85565823","31.88137145","35.53294997","39.10141459","37.92305582","36.77727101","39.31687539","36.88017765","38.67909693","39.19487731","34.76279315","35.53234812","37.73485337","39.94870096","39.16356814","","",
"Congo, Dem. Rep.","COD","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1492037","4.23404834","3.20836817","4.41668084","6.06689904","6.36297661","7.61648335","7.89188463","8.13821352","6.16093847","4.77742272","4.90318624","5.64496255","6.44093536","7.4985922","7.38787301","7.67389497","7.78972543","7.70654887","7.91911563","","",
"Congo, Rep.","COG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.21385264","9.45389352","10.56321769","13.36815563","15.53260048","16.38938823","17.92842762","21.18484548","24.61485487","25.31045447","24.01521758","25.650581","22.27833886","23.14297418","23.26922364","19.52556822","25.19677984","24.96472678","24.85941942","22.27002081","","",
"Colombia","COL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.19260563","18.30326871","14.98538039","11.01362623","21.68016895","33.99056393","42.50522567","58.89889885","78.0782587","68.40049217","76.19086269","76.17760583","96.98444405","98.92097677","94.90454913","71.55866097","69.02755552","75.22414966","77.64474337","73.59094079","","",
"Comoros","COM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.50258026","36.27929468","38.2293199","45.66027429","50.13572572","50.06423084","50.44350878","54.96406024","58.88023151","55.73598997","52.87660525","49.16818205","49.34522952","52.24231773","51.95393693","42.8712875","42.21168506","44.52472124","46.68603398","44.71632973","","",
"Cabo Verde","CPV","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.92197902","15.66540975","17.14463435","21.53177253","23.37824981","24.75599885","28.16183035","30.57430064","32.57828995","32.80828416","42.44869143","41.69635044","43.48170335","46.38640345","49.1304819","40.70131314","43.54078534","47.59757976","51.81393128","44.36719749","","",
"Costa Rica","CRI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.54357159","81.10463585","85.22746494","88.93188378","93.62485581","102.15886663","112.6554897","132.0092432","152.10927202","141.13968273","167.68534537","193.28269887","192.21991283","191.70307221","202.94786614","199.75812101","195.13928465","183.07692541","203.91617451","205.74000871","","",
"Caribbean small states","CSS","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.6737125330594","98.1140460794824","97.5432900205904","103.434476292552","115.71290121137","125.422683993791","137.05768408076","161.909462737212","173.571817474518","162.925411998314","171.537498132768","178.407374045628","182.871946747787","185.759427721545","191.337931689223","191.332335211607","192.563591325397","194.027506565636","208.704155813783","215.450099601061","","",
"Cuba","CUB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.34454268","37.06335352","41.34950277","46.15651913","45.46519157","49.21155838","55.26030507","55.88775946","54.10710769","55.04729837","56.23636627","75.69673839","79.33895787","87.52319808","83.47996941","94.9418795","101.29593871","104.85698618","108.64221573","109.23618403","","",
"Curacao","CUW","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","419.55317334","431.87938607","469.92229881","545.67353718","641.96951714","680.71634454","712.36832008","826.76424346","1107.7984432","1051.13454873","881.6430818","874.93657692","804.79573081","816.33684504","845.33086656","687.71454667","726.42359543","777.34551598","863.89871535","610.28276679","","",
"Czech Republic","CZE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.96939657","41.35377436","49.78267903","66.41870267","79.89461969","94.58347857","109.71929465","151.32845676","233.82108502","217.06531334","209.5366084","227.80875772","212.15503406","211.1933217","213.05014646","190.40352636","198.55774004","218.56978266","250.54761786","260.95728653","","",
"Germany","DEU","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288.08840162","288.21229784","322.87482423","404.83024119","485.20682117","502.42646114","536.44476948","602.83487471","659.19167296","649.50742909","643.74894623","705.45076014","675.27952453","678.75692935","689.9639398","605.01743217","616.06235265","645.9803434","703.83090666","697.24444553","","",
"Djibouti","DJI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.40482232","16.98953325","17.20784459","17.03608829","16.63946468","17.07149276","17.87298332","18.082828","17.05932375","16.68954296","16.32050183","16.66417907","16.5730992","16.24760584","16.56936268","16.9044445","17.817057","18.89497479","20.68965615","14.92902559","","",
"Dominica","DMA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.14204547","93.38175561","92.6232918","95.13227743","100.64531562","102.75667203","105.37576195","122.54005912","144.86650749","145.35788073","139.38098621","138.6577965","140.75404547","132.64431693","137.67345885","133.47208457","133.42741562","113.84147559","148.10310816","149.03994608","","",
"Denmark","DNK","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383.30380094","393.41415875","426.50564611","525.08426818","623.82549718","653.49409357","694.20230946","796.29582505","866.51884859","851.41363839","864.80245624","913.93441326","850.08583918","861.27327774","878.92437057","747.91877069","763.17472665","796.85185702","855.74469747","850.62631253","","",
"Dominican Republic","DOM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.52502238","79.22300506","82.89963503","65.43589001","66.39305669","92.25282884","89.84221084","94.46015629","104.82272985","109.77551155","136.12330665","142.18837928","154.13411858","151.67845668","161.47194896","171.57019548","189.30751542","198.49025294","206.51569882","210.90241878","","",
"Algeria","DZA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.88482452","14.47503335","14.9707935","16.01868686","24.13895498","28.29415386","33.98879551","42.40410284","54.09418262","57.12789229","66.22439867","80.1044685","86.292801","91.4896919","95.87503161","82.24240922","80.53248942","83.96160385","83.53209173","83.00936456","","",
"East Asia & Pacific (excluding high income)","EAP","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1334470747249","22.86544757423","25.1790440405358","27.8316878376495","30.4863243141484","35.014740059182","38.6218391098506","42.7573095037264","52.7126448170591","58.5638122153782","65.8164142855092","81.0871694466","92.39502400638","101.798490186684","105.42527842989","108.648852195013","112.177823468756","123.281849651425","138.578427867723","145.537602028346","","",
