Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Kiribati,KIR,..,0.10373125,0.19994101,0.22193613,0.19685547,0.19199969,0.18093384,0.18248357,0.19613857,0.19050669,0.18081748,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,"Korea, Rep.",KOR,..,206.94938316,516.44564067,540.90272758,581.988892,643.08454308,644.77878319,671.8017511,736.51802115,826.70725678,793.79217075,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Kuwait,KWT,..,103.61129823,158.98108045,181.34047604,177.99234093,178.99297314,172.45184269,173.74472239,178.97946276,185.08588681,207.42228431,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Kyrgyz Republic,KGZ,..,6.34753853,34.75789093,43.23731183,48.63597595,52.95361825,43.69711892,41.14977368,43.39942413,30.64649551,28.69934375,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Lao PDR,LAO,..,6.44288747,14.44272609,15.97096501,21.4117927,23.38836929,23.821008,25.48571046,28.66593395,28.01562787,28.53853224,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Latvia,LVA,..,86.53499866,262.23014556,281.98021181,310.5148842,335.0471693,314.51453044,380.03210106,391.70647345,433.34919807,416.77809729,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Lebanon,LBN,..,277.16622766,252.22807907,207.86312416,207.08217709,205.56411544,185.32897657,193.00589113,200.65759327,228.03602091,222.3603845,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Lesotho,LSO,..,9.28596532,22.75672502,21.51615813,18.78339566,17.8704263,16.84791256,15.35553186,17.22943603,17.5861113,17.09094397,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Liberia,LBR,..,9.12661053,26.48071348,25.6837173,28.59798322,33.37106906,34.26796337,32.80849264,30.93612725,28.95799534,28.59212427,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Libya,LBY,..,125.49653647,113.62718458,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Lithuania,LTU,..,58.96802679,261.17993968,285.23350382,314.72827648,321.61445007,292.96512284,319.46307141,353.04471966,393.64190235,442.09547157,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Luxembourg,LUX,..,413.44658301,780.65851088,692.63781959,713.19689418,727.27237179,582.97899389,589.91766231,610.9087985,652.22670476,598.58479411,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Madagascar,MDG,..,5.07664385,6.71965754,6.5839277,7.22387701,6.6725082,5.88819981,5.85207439,6.34344671,6.4545307,6.45446753,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Malawi,MWI,..,0.81650143,3.59252716,3.40025097,2.70553608,2.95056921,3.91875791,4.31145863,4.87335552,4.79809497,5.12697208,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Malaysia,MYS,..,45.07609389,118.90346925,125.3346684,131.58820344,140.75381571,126.99888435,124.57494117,130.0252833,149.21671581,150.9535272,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Maldives,MDV,..,139.79743938,229.25881642,202.83213339,208.77443965,189.11318775,153.32440316,179.70289912,182.74334993,151.19075146,140.56325911,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Mali,MLI,..,10.17718459,16.81513833,13.07202908,11.12122102,12.75529213,10.55770362,10.53311623,11.43695228,10.87243222,10.74835324,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Malta,MLT,..,170.66413151,650.00315714,609.27566479,641.03817253,895.57499915,834.49320707,815.59248359,898.83281302,944.33425023,877.25852936,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Marshall Islands,MHL,..,39.83024491,62.00145336,61.36026218,60.14640311,60.82033456,59.99782622,62.73197627,68.08700265,72.43095955,77.47611403,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Mauritania,MRT,..,17.78690639,27.14626654,26.65456427,27.24588361,27.64289811,26.73029945,25.56803662,25.54244736,26.33707431,26.06038634,..
